city,colors,shape,state,time
Brownville,,CIRCLE,ME,9/10/1967 0:00
Portsmouth,,OTHER,OH,9/10/1967 21:30
Atlanta,,CIGAR,GA,9/10/1967 22:00
Caribou,,DISK,ME,9/15/1967 0:00
Cedar Point,,LIGHT,KS,9/15/1967 0:00
Chiloquin,,DISK,OR,9/15/1967 19:30
Schofield Barracks Military area,,CIRCLE,HI,9/15/1967 20:00
Santa Rosa,,CIRCLE,CA,9/15/1967 22:00
Woodland Hills,,TRIANGLE,CA,9/20/1967 21:00
Tipp City,BLUE,LIGHT,OH,9/20/1967 22:30
Albuquerque,,,NM,9/22/1967 22:30
Lone Rock,,OVAL,WI,9/30/1967 23:00
Chaffee,,SPHERE,NY,10/1/1967 2:00
Greenville,,CIRCLE,IL,10/1/1967 13:00
Minneapolis,,DISK,MN,10/1/1967 20:00
Syracuse,,DISK,NY,10/5/1967 4:00
Whippany,,DISK,NJ,10/6/1967 19:00
Lantana,,OTHER,FL,10/7/1967 22:00
Birmingham,,OVAL,AL,10/15/1967 18:00
Hampstead,,DISK,NC,10/15/1967 21:00
North Hollywood,,FIREBALL,CA,10/15/1967 21:00
Saugus,,LIGHT,CA,10/15/1967 23:00
Travis AFB,,,CA,10/15/1967 23:00
Cherokee Village,,CIRCLE,AR,10/17/1967 23:00
Old Greenwich,BLUE,DISK,CT,10/20/1967 18:00
Midland,,LIGHT,TX,10/31/1967 20:00
Ada,,CIRCLE,OK,10/31/1967 20:30
Tiburon,,TEARDROP,CA,11/2/1967 22:00
Fort Polk,,,LA,11/10/1967 6:00
Clearmont,,,MO,11/10/1967 19:00
Chicago,RED,DISK,IL,11/12/1967 21:30
Blaine,,,WA,11/15/1967 23:30
Silver Lake,RED,,OR,11/20/1967 21:00
Broadview Heights,,LIGHT,OH,12/6/1967 3:30
La Plata,,CIRCLE,MD,12/15/1967 19:30
Bithlo,,DISK,FL,12/30/1967 17:10
Burlington,,CIRCLE,NJ,1/1/1968 0:00
Lawndale,,CIRCLE,CA,1/1/1968 0:00
West Monroe,,LIGHT,LA,1/1/1968 21:00
Wheaton,RED,CIRCLE,MD,1/1/1968 23:00
Tucson,,DISK,AZ,1/8/1968 19:00
Jacksonville,,,FL,1/10/1968 23:00
American Falls,GREEN,DISK,ID,1/12/1968 22:00
Anjean,,OVAL,WV,1/15/1968 17:30
Gloucester,,DISK,NJ,1/20/1968 19:00
Carpinteria,,SPHERE,CA,1/29/1968 18:00
Dayton,,DISK,OH,1/30/1968 1:00
on plane wing,,DISK,NY,1/31/1968 5:00
Temple,RED,LIGHT,OK,2/15/1968 19:00
Ironwood,,SPHERE,MI,2/25/1968 22:00
New York City,,DISK,NY,3/1/1968 15:00
Alamosa,,SPHERE,CO,3/12/1968 11:00
Savannah,,CIRCLE,GA,4/1/1968 20:30
Gainesville,,CIGAR,GA,4/3/1968 14:50
Little Rock,,CYLINDER,AR,4/4/1968 10:00
Westland,,DISK,MI,4/5/1968 23:00
Columbia Station,,SPHERE,OH,4/7/1968 10:00
Walla Walla,,TRIANGLE,WA,4/8/1968 18:45
Scottsville,,DISK,KY,4/12/1968 21:00
Overton,,OVAL,NE,4/15/1968 2:00
Las Vegas,,SPHERE,NV,4/15/1968 18:30
Silver City,,CIRCLE,IA,4/15/1968 23:30
New Kensington,,CIRCLE,PA,4/19/1968 16:00
Redfield,,CONE,IA,5/1/1968 13:00
Franconia Notch,,CIRCLE,NH,5/1/1968 14:00
Valparaiso,,,IN,5/12/1968 9:00
Valparaiso,,,IN,5/12/1968 9:00
Omaha,,DISK,NE,5/12/1968 21:00
St. Louis,,OVAL,MO,5/15/1968 18:00
Stevens Point,,SPHERE,WI,5/15/1968 19:50
Jones,,OVAL,MI,5/15/1968 20:30
Provo,YELLOW,SPHERE,UT,5/15/1968 21:00
Towaco,,CIRCLE,NJ,5/20/1968 19:00
Morehead,,LIGHT,KY,5/25/1968 20:00
Delta,RED,SPHERE,CO,5/25/1968 21:30
Binghamton,,DISK,NY,6/1/1968 0:00
Clovis,,CIGAR,CA,6/1/1968 0:00
Sanford,,FIREBALL,FL,6/1/1968 0:00
Dayton,,OVAL,OH,6/1/1968 2:00
Chicago,,OVAL,IL,6/1/1968 4:30
Las Vegas,BLUE,LIGHT,NV,6/1/1968 13:00
Camden,,CIRCLE,AR,6/1/1968 16:00
Corry,,FIREBALL,PA,6/1/1968 17:00
Billings,,CIRCLE,MT,6/1/1968 18:00
Ash Grove,RED ORANGE,SPHERE,MD,6/1/1968 19:00
Fairfield,,CIGAR,CA,6/1/1968 19:00
Gadsden,,OTHER,AL,6/1/1968 19:00
Columbia,,TRIANGLE,SC,6/1/1968 21:00
Monmouth Junction,,LIGHT,NJ,6/1/1968 21:00
Winnie,,FIREBALL,TX,6/1/1968 21:00
Zanesville,,DISK,OH,6/1/1968 21:00
Houston,,TRIANGLE,TX,6/1/1968 22:00
Mississippi,,CIRCLE,MS,6/1/1968 22:00
Renton,ORANGE,VARIOUS,WA,6/1/1968 22:00
Minot,,CIGAR,ND,6/1/1968 23:20
Rocky Mountains,,OTHER,CA,6/3/1968 11:45
Rocky Mountains,,OTHER,CA,6/3/1968 11:45
Lake Havasu City,,CIGAR,AZ,6/6/1968 11:00
Duluth,,DISK,MN,6/6/1968 20:00
NAS Fallon,,DISK,NV,6/6/1968 21:00
Minot,,DISK,ND,6/6/1968 22:00
State College,,OVAL,PA,6/6/1968 23:00
Downers Grove,,DISK,IL,6/10/1968 11:00
Woodland Hills,,DISK,CA,6/10/1968 20:30
St. Paul,,CIRCLE,MN,6/12/1968 2:30
Shrewsbury,,RECTANGLE,MA,6/12/1968 12:30
Coyanosa,,LIGHT,TX,6/15/1968 0:00
Panama City,,LIGHT,FL,6/15/1968 2:00
Greensboro,GREEN BLUE,TRIANGLE,NC,6/15/1968 3:00
Akron,,DISK,OH,6/15/1968 15:00
Canoga Park,,CYLINDER,CA,6/15/1968 15:00
Fort Hood,,DISK,TX,6/15/1968 16:30
Baytown,,CIGAR,TX,6/15/1968 17:00
Bishop,,DISK,CA,6/15/1968 17:00
Louisville,,,KY,6/15/1968 17:00
Oak Cliff,,DISK,TX,6/15/1968 17:00
Oak Cliff,,DISK,TX,6/15/1968 17:00
Pasadena,,CIGAR,TX,6/15/1968 17:00
Livingston,,DISK,NJ,6/15/1968 18:00
Allentown,,SPHERE,PA,6/15/1968 20:00
Pittsburgh,,LIGHT,PA,6/15/1968 20:00
Wytheville,,DISK,VA,6/15/1968 20:30
Brevard,ORANGE,CIRCLE,NC,6/15/1968 21:00
Mariposa,,,CA,6/15/1968 22:00
Mojave Desert,,LIGHT,CA,6/15/1968 22:00
Garden Valley,,DISK,CA,6/15/1968 22:30
Salt Lake City,,LIGHT,UT,6/20/1968 7:00
Fairfield,,OTHER,IA,6/20/1968 15:00
York,,EGG,PA,6/20/1968 19:00
Badlands,,,SD,6/20/1968 22:00
Upper Lisle,,TRIANGLE,NY,6/21/1968 20:30
Honolulu,,CIRCLE,HI,6/25/1968 11:00
Wyoming,,DISK,MN,6/26/1968 13:00
Cottonwood,,CIRCLE,AZ,6/28/1968 21:00
Thurmont,,DISK,MD,6/29/1968 1:00
Harahan,,LIGHT,LA,6/30/1968 0:00
Chicago,,,IL,6/30/1968 1:00
Whittier,BLUE,SPHERE,CA,6/30/1968 1:00
Hueytown,,OVAL,AL,6/30/1968 9:00
Auburn,,OTHER,MA,6/30/1968 10:00
Ponca City,RED,LIGHT,OK,6/30/1968 11:00
Gardendale,,DISK,AL,6/30/1968 12:00
Gilmer,,CIGAR,TX,6/30/1968 12:00
Yankton,,,SD,6/30/1968 12:00
Christmas Valley,,DISK,OR,6/30/1968 13:00
Hillsboro,GREEN,,KS,6/30/1968 14:00
Oldtown,,DISK,MD,6/30/1968 20:00
Stockton,,DISK,CA,6/30/1968 21:00
Dallas,,OTHER,TX,7/1/1968 3:30
Tempe,,TRIANGLE,AZ,7/1/1968 18:00
Plantsville,BLUE,LIGHT,CT,7/1/1968 18:30
New Castle,,DISK,PA,7/1/1968 19:00
Salt Lake City,,CIRCLE,UT,7/1/1968 20:45
Cincinnati,,DISK,OH,7/1/1968 22:00
Santa Barbara,,FORMATION,CA,7/1/1968 22:00
Vega,,DISK,TX,7/3/1968 20:30
Otis Air Force Base,,LIGHT,MA,7/4/1968 21:00
Otis Air Force Base,,LIGHT,MA,7/4/1968 21:00
Thomasville,,,AL,7/6/1968 1:00
Houston,,DISK,TX,7/7/1968 12:00
Augusta,,TRIANGLE,GA,7/7/1968 20:00
Rumson,,DISK,NJ,7/7/1968 20:00
Nashville,,CIGAR,IN,7/9/1968 0:00
Quantico Marine Base,,CIGAR,VA,7/10/1968 23:00
Perth Amboy,,CIRCLE,NJ,7/13/1968 22:00
North Little Rock,,CIRCLE,AR,7/14/1968 21:00
Norwich,,DIAMOND,CT,7/15/1968 0:01
Bena,,VARIOUS,VA,7/15/1968 0:50
Phoenix,,LIGHT,AZ,7/15/1968 2:00
Pyramid Lake Indian Reservation,,LIGHT,NV,7/15/1968 2:00
Seattle,,CIRCLE,WA,7/15/1968 2:00
Rosemead,,CIGAR,CA,7/15/1968 7:00
Homeworth,,TRIANGLE,OH,7/15/1968 18:00
Marion,BLUE,OTHER,MA,7/15/1968 19:00
Columbus,,OTHER,MS,7/15/1968 22:00
Stillwater,GREEN,FIREBALL,ME,7/15/1968 23:00
Martinez,,DISK,GA,7/19/1968 23:00
Des Moines,,CIRCLE,IA,7/20/1968 1:00
Cleveland Heights,,OVAL,OH,7/20/1968 14:00
Zell,,DISK,SD,7/20/1968 15:00
San Jose,,CIRCLE,CA,7/20/1968 19:00
Oakland,,CIGAR,CA,7/21/1968 14:00
Brainerd,,CIRCLE,MN,7/22/1968 22:00
Freeport,,DISK,IL,7/25/1968 23:00
Draffenville,,DISK,KY,7/27/1968 20:00
Corpus Christi,,OTHER,TX,8/1/1968 12:00
Baytown,,LIGHT,TX,8/1/1968 18:00
Coxsackie,,CIRCLE,NY,8/1/1968 19:00
Panama City Beach,,LIGHT,FL,8/1/1968 19:00
Georgetown,,OTHER,SC,8/1/1968 20:00
Pollack Pines,,LIGHT,CA,8/1/1968 22:00
Lake Dorothy,,DISK,WA,8/4/1968 23:00
Cherry Hill,,DISK,NJ,8/8/1968 18:00
Eugene,RED,CIGAR,OR,8/9/1968 21:00
Vineland,,FIREBALL,NJ,8/10/1968 19:00
Niantic,BLUE,DISK,CT,8/11/1968 20:20
Morro Bay,,LIGHT,CA,8/12/1968 17:00
Byron,,DISK,GA,8/14/1968 21:00
Ft. Benning,,SPHERE,GA,8/15/1968 0:00
Austin,,DISK,TX,8/15/1968 5:00
Yosemite Pass,,DISK,CA,8/15/1968 11:30
Sewickley,,CIGAR,PA,8/15/1968 12:00
Cannon,,OVAL,DE,8/15/1968 13:00
Church Hill,,SPHERE,PA,8/15/1968 15:00
East Palestine,,DISK,OH,8/15/1968 18:00
Pomona,,LIGHT,CA,8/15/1968 20:00
Greensboro,,DISK,NC,8/15/1968 21:35
Kansas Ciy,RED,VARIOUS,KS,8/16/1968 3:00
Norfolk Naval Operation Base,,CIRCLE,VA,8/20/1968 3:30
Elwood,,CIGAR,NJ,8/20/1968 18:30
Gulf of Mexico,,OVAL,LA,9/1/1968 23:00
Tracy,,,CA,9/9/1968 20:00
Santa Rosa,ORANGE,CIRCLE,CA,9/9/1968 21:00
Corydon,,DISK,KY,9/10/1968 16:00
Colorado Springs,,SPHERE,CO,9/10/1968 19:00
Tontitown,,,AR,9/10/1968 21:00
White Owl,,FIREBALL,SD,9/15/1968 0:00
Oelwein,,CIGAR,IA,9/15/1968 22:00
covington,,CIRCLE,KY,9/20/1968 4:00
Edison,,DISK,NJ,9/30/1968 21:00
Edison,,DISK,NJ,9/30/1968 21:00
Edison,,DISK,NJ,9/30/1968 21:00
Boston,RED ORANGE,CIGAR,MA,10/1/1968 0:00
Kennebunkport,,CIRCLE,ME,10/1/1968 20:00
London Mills,,DISK,IL,10/5/1968 2:00
Nunda,,DISK,SD,10/5/1968 21:30
Hawthorne,ORANGE,CIRCLE,CA,10/10/1968 13:00
Brevard,RED,FIREBALL,NC,10/10/1968 19:00
Hastings,,TRIANGLE,MN,10/15/1968 2:00
Crystal Lake,,CIGAR,IL,10/15/1968 7:30
Bancroft,,LIGHT,WI,10/15/1968 20:00
Fort Polk,,LIGHT,LA,10/15/1968 23:30
Shadyside,,OVAL,MD,10/15/1968 23:30
Ashtabula,,DISK,OH,10/20/1968 1:00
Bullskin,,CIRCLE,PA,10/20/1968 19:00
Wayne,,OVAL,MI,10/20/1968 20:00
Lakeland,,DISK,FL,10/22/1968 20:00
Walla Walla,,OTHER,WA,10/23/1968 15:00
Springfield,,DISK,MA,10/25/1968 19:00
Miami,,FIREBALL,FL,10/30/1968 19:00
Loring AFB,,,ME,10/30/1968 22:00
Enid,,FLASH,OK,11/1/1968 22:00
Nacaome,,OVAL,MA,11/5/1968 16:00
San Diego,,,CA,11/10/1968 3:00
Ocean off Miami,GREEN,LIGHT,FL,11/18/1968 1:00
Kent,,TRIANGLE,WA,11/20/1968 7:30
Locust Fork,,LIGHT,AL,11/30/1968 21:30
Gasconade,,,MO,12/3/1968 2:00
Abbeville,,DISK,SC,12/10/1968 0:30
Logansport,,CIGAR,IN,12/12/1968 3:00
Joshua Tree National Park,,FLASH,CA,12/15/1968 21:00
Hollywood,,OTHER,CA,12/15/1968 23:00
Juneau,,OTHER,AK,12/20/1968 2:00
Juneau,,OTHER,AK,12/20/1968 2:00
Greensburg,,,PA,1/1/1969 10:00
Farmerville,,OTHER,LA,1/1/1969 20:00
Nevada test site,,TRIANGLE,NV,1/1/1969 23:00
Naples,,OVAL,FL,1/4/1969 23:30
Pittsburgh,,OTHER,PA,1/8/1969 21:30
Butte,,RECTANGLE,MT,1/15/1969 23:00
Miami,,SPHERE,FL,1/15/1969 23:00
Butte,,OTHER,MT,1/19/1969 22:00
Lake Wales,,DISK,FL,1/20/1969 19:00
Monroe,,SPHERE,IN,2/15/1969 22:00
Omaha,ORANGE,OVAL,NE,3/1/1969 0:00
Oak Lawn,,DISK,IL,3/1/1969 15:00
Perth Amboy,,LIGHT,NJ,3/1/1969 21:00
Oroville,,CROSS,WA,3/15/1969 11:00
Little Axe,,CIGAR,OK,3/15/1969 21:00
Loganville,,CIGAR,GA,4/1/1969 7:00
City of Commerce,,CIGAR,CA,4/5/1969 13:00
At sea,,LIGHT,HI,4/15/1969 21:30
Little Rock,,CYLINDER,AR,4/21/1969 16:30
Youngstown,,DISK,OH,5/1/1969 5:00
Ridgefield,,,CT,5/1/1969 6:00
San Diego,,OVAL,CA,5/1/1969 12:00
Wheaton,,DISK,MD,5/1/1969 20:00
Estill,,CIGAR,SC,5/1/1969 22:00
St. Louis,,CIGAR,MO,5/15/1969 14:00
Dallas,,LIGHT,TX,5/15/1969 20:00
Wilshire,ORANGE YELLOW,SPHERE,CA,5/15/1969 20:00
Boulder,,OTHER,CO,6/1/1969 1:00
Wacousta,ORANGE,SPHERE,MI,6/1/1969 3:00
Kyle,,OVAL,TX,6/1/1969 12:00
La Puenty,,FORMATION,CA,6/1/1969 12:00
Sarasota,,LIGHT,FL,6/1/1969 12:00
Barrington,,SPHERE,IL,6/1/1969 12:09
Highwood,,DISK,MT,6/1/1969 13:00
Oahu,,LIGHT,HI,6/1/1969 14:00
Highwood,,DISK,MT,6/1/1969 17:00
Falls Church,,OTHER,VA,6/1/1969 18:45
HWY 77,,,TX,6/1/1969 21:00
Lawrenceburg,,DISK,KY,6/1/1969 21:00
Sausalito,,,CA,6/1/1969 21:00
Akron,,LIGHT,OH,6/1/1969 22:00
Athens,,RECTANGLE,NY,6/1/1969 22:00
Orangevale,ORANGE,,CA,6/1/1969 23:00
Philadelphia,,CIRCLE,MS,6/1/1969 23:00
Chance,,DISK,MD,6/4/1969 1:00
Windsor,,DISK,SC,6/5/1969 7:00
Portland,,DISK,OR,6/10/1969 1:00
North Wildwood,,TRIANGLE,NJ,6/10/1969 18:30
Whitmore Lake,,LIGHT,MI,6/10/1969 22:00
Land O'Lakes,RED,DISK,FL,6/14/1969 23:00
Islip,,OTHER,NY,6/15/1969 6:00
Grang junction colorado,,DISK,CO,6/15/1969 7:00
Little Rock,,CYLINDER,AR,6/15/1969 15:00
Kent,,OTHER,WA,6/15/1969 17:00
Altoona,,OTHER,PA,6/15/1969 19:00
Bryan,,TRIANGLE,TX,6/15/1969 20:00
Fairfax,,OVAL,VA,6/15/1969 23:50
Ronkonkoma,,,NY,6/21/1969 23:00
Moline,,,IL,6/25/1969 0:00
Fort Lauderdale,,OTHER,FL,6/29/1969 21:30
Kyle,,OVAL,TX,6/30/1969 0:00
Westphalia,,EGG,IN,6/30/1969 10:00
Christmas Valley,,DISK,OR,6/30/1969 12:00
Holliston,,,MA,6/30/1969 12:00
Detroit,,LIGHT,MI,6/30/1969 15:00
Indianapolis,,DISK,IN,6/30/1969 18:00
Bristol,,,CT,7/1/1969 15:00
Issaquah,,DISK,WA,7/1/1969 16:00
Scottsdale,,,AZ,7/1/1969 18:00
Whittier,,DISK,CA,7/1/1969 18:00
New York Mills,,DISK,MN,7/1/1969 20:00
Payson,YELLOW,DISK,AZ,7/1/1969 20:00
Chambers County,,CIRCLE,AL,7/1/1969 22:15
Lakewood,,OTHER,CO,7/4/1969 10:30
Sunnyvale,,DISK,CA,7/4/1969 11:15
Cachuma Lake,,OTHER,CA,7/4/1969 13:45
Jacksonville Beach,,OTHER,FL,7/4/1969 20:00
March AFB,,TRIANGLE,CA,7/5/1969 10:30
Valdez,,DISK,AK,7/5/1969 10:53
Fresno,,OTHER,CA,7/7/1969 22:00
Brainerd,,TRIANGLE,MN,7/7/1969 23:00
Miami,,LIGHT,FL,7/7/1969 23:30
Salt Lake City,,CIRCLE,UT,7/10/1969 12:00
Chariton,,CIRCLE,IA,7/10/1969 21:00
Upper Dublin,,SPHERE,PA,7/10/1969 21:00
Whitemarsh,,FIREBALL,PA,7/11/1969 21:00
Bridgeport,,CIGAR,NY,7/14/1969 19:00
South Glens,,FLASH,NY,7/15/1969 0:00
Geneseo,,,IL,7/15/1969 1:00
Enid,,,OK,7/15/1969 2:00
Wasco,,DISK,OR,7/15/1969 9:00
Cape Canaveral,,SPHERE,FL,7/15/1969 9:35
Champaign,,DISK,IL,7/15/1969 14:00
Peoria,,DISK,IL,7/15/1969 14:00
Fairfax,,DISK,CA,7/15/1969 20:30
Somerville,,LIGHT,OH,7/15/1969 22:30
Burlington,,OTHER,WA,7/15/1969 23:00
Hawley,ORANGE,CIRCLE,PA,7/25/1969 0:00
Rocky Mount,,SPHERE,NC,7/27/1969 21:45
Akron,,CIRCLE,OH,7/30/1969 13:00
Summerville,,LIGHT,SC,7/31/1969 20:00
Independence,,SPHERE,MO,8/1/1969 3:00
Ohio,,OTHER,OH,8/1/1969 12:00
Dayton,,DISK,OH,8/1/1969 17:30
Fort Lauderdale,GREEN,LIGHT,FL,8/1/1969 20:30
New Castle,,OVAL,PA,8/1/1969 21:00
Minnetonka,,LIGHT,MN,8/1/1969 22:00
North Haven,,DISK,CT,8/5/1969 19:00
Barstow,,LIGHT,CA,8/10/1969 0:00
Port Chester,,OTHER,NY,8/13/1969 0:30
,YELLOW,CIRCLE,AZ,8/15/1969 1:00
Baldwin City,,CIRCLE,KS,8/15/1969 1:00
Johnstown,,TRIANGLE,PA,8/15/1969 2:00
Port Jefferson,,DISK,NY,8/15/1969 12:00
El Cajon,,OTHER,CA,8/15/1969 19:00
East Barre,,CYLINDER,VT,8/15/1969 20:00
Rockford,,OTHER,IL,8/15/1969 20:00
Biola,,CIGAR,CA,8/15/1969 21:30
Lamont,,FORMATION,CA,8/15/1969 22:00
North Hollywood,ORANGE,SPHERE,CA,8/17/1969 2:30
Enfield,,OVAL,ME,8/27/1969 21:00
Walpole,,OVAL,MA,9/1/1969 2:30
Austin,,SPHERE,TX,9/9/1969 21:10
Merced,,,CA,9/15/1969 22:00
Fairbanks,,CIGAR,AK,9/20/1969 23:00
Raceland,,TRIANGLE,LA,9/29/1969 11:15
San Francisco,,OVAL,CA,10/1/1969 16:00
Millington,,FORMATION,TN,10/13/1969 21:15
Memphis,,FORMATION,TN,10/13/1969 22:00
Sharon,,OVAL,CT,10/15/1969 0:00
Pearl,,CIGAR,MS,10/15/1969 6:00
Portland,,CIGAR,OR,10/15/1969 13:00
Wilmington,,CIRCLE,DE,10/15/1969 18:30
Hurst,,DISK,TX,10/15/1969 19:00
Miami,,VARIOUS,FL,10/15/1969 19:00
Exeter,,CIGAR,NH,10/15/1969 21:00
Alpine,,DISK,AZ,10/15/1969 23:30
Erie,,CIRCLE,PA,10/25/1969 6:00
Fulton,,CIGAR,NY,10/29/1969 21:00
Fulton,,CIGAR,NY,10/30/1969 21:00
Fulton,,CIGAR,NY,10/30/1969 21:00
Fulton,ORANGE,CIRCLE,NY,10/31/1969 23:00
San Juan Capistrano,,,CA,11/1/1969 7:00
Fairbanks,,FORMATION,AK,11/1/1969 19:30
Camp Pendleton,,LIGHT,CA,11/1/1969 22:00
Hogans Camp Resort,,CIRCLE,CA,11/1/1969 22:00
Buford,,DISK,GA,11/5/1969 1:00
San Jose,GREEN,LIGHT,CA,11/13/1969 21:03
Kenai,,LIGHT,AK,11/22/1969 17:00
Glenmore,,CIRCLE,LA,12/15/1969 16:00
Richmond,,CIRCLE,KY,12/15/1969 23:00
Middletown,,FIREBALL,CT,12/23/1969 15:00
Middletown,,CIRCLE,CT,12/23/1969 18:00
Rogersville,RED,,AL,12/25/1969 21:38
Joplin,,,MO,1/1/1970 2:00
Grand Rapids,,DISK,MI,1/1/1970 12:00
Candia,,LIGHT,NH,1/5/1970 22:00
Hemet,BLUE,CYLINDER,CA,1/15/1970 21:00
Lake Wales,,OVAL,FL,1/16/1970 19:00
Danville,,EGG,NH,1/20/1970 15:00
San Mateo,,SPHERE,CA,1/22/1970 10:00
Denver,ORANGE GREEN BLUE,CIGAR,CO,1/24/1970 20:15
Los Angeles,,DISK,CA,2/10/1970 20:30
Colorado Springs,,,CO,2/15/1970 0:00
Lafayette,,DISK,CA,2/15/1970 22:00
Ft. Dix,,CIRCLE,NJ,2/20/1970 5:00
Columbus,ORANGE,OTHER,GA,2/20/1970 19:30
Cutler Ridge,,LIGHT,FL,2/22/1970 22:00
St. Petersburg,,DISK,FL,3/10/1970 0:00
Monessen,,CYLINDER,PA,3/12/1970 3:00
Fort Worth,,DISK,TX,3/20/1970 16:00
Camp Pendleton,,DISK,CA,3/21/1970 20:00
Slocomb,,CIRCLE,AL,3/30/1970 21:00
Interstate 40,,LIGHT,AZ,4/15/1970 3:00
East Aurora,,EGG,NY,4/15/1970 21:30
Evansville,,DISK,IN,4/20/1970 14:00
New York City,,OTHER,NY,5/1/1970 0:00
New York City,,OTHER,NY,5/1/1970 0:00
Houston,,DISK,TX,5/1/1970 3:00
Oak Ridge,,DISK,TN,5/1/1970 14:30
La Grange,,CIRCLE,IL,5/1/1970 15:30
New York City,,VARIOUS,NY,5/5/1970 19:00
Kansas City,GREEN,LIGHT,MO,5/15/1970 16:00
Vero Beach,,OVAL,FL,5/16/1970 17:00
Tampa,ORANGE,OVAL,FL,5/18/1970 2:00
Reading,,TRIANGLE,PA,5/20/1970 23:30
Ritter,,DISK,OR,6/1/1970 0:00
Hopewell,,DISK,VA,6/1/1970 1:00
Burlingame,,DISK,CA,6/1/1970 11:00
Hilmar,,DISK,CA,6/1/1970 15:00
Rogers Dry Lake,,OVAL,CA,6/1/1970 15:30
Columbus,,DISK,OH,6/1/1970 17:00
Fulton,,CIRCLE,NY,6/1/1970 17:00
Medford,,OVAL,MA,6/1/1970 19:30
New York City,,DISK,NY,6/1/1970 19:30
Westfield,,DISK,IA,6/1/1970 22:00
Russia,,,OH,6/1/1970 23:00
Cleveland,,DISK,OH,6/5/1970 0:50
Downers Grove,,DISK,IL,6/6/1970 0:00
Maui,,EGG,HI,6/6/1970 3:00
Not sure,,DISK,CA,6/8/1970 10:00
Eureka,,OVAL,CA,6/9/1970 15:00
Kalispell,,CIGAR,MT,6/10/1970 13:00
Princess Anne,ORANGE,OVAL,MD,6/10/1970 17:00
Huntington,,,NY,6/10/1970 19:00
West Ocean City,,LIGHT,MD,6/10/1970 21:00
Geneseo,,,IL,6/15/1970 2:00
Houston,,DISK,TX,6/15/1970 3:00
Oxford,,OTHER,IN,6/15/1970 11:00
Milford,,DISK,CT,6/15/1970 13:00
San Bruno Mountain Ranges,,DISK,CA,6/15/1970 15:00
Yorktown Heights,,LIGHT,NY,6/15/1970 18:00
Chicago,,CIRCLE,IL,6/15/1970 19:00
CT,,CIRCLE,RI,6/15/1970 19:30
River Pines,,DISK,CA,6/15/1970 20:00
Snowbank Lake,,DISK,MN,6/15/1970 21:00
Malibu Canyon,,,CA,6/15/1970 23:30
Whitmire,,CIRCLE,SC,6/17/1970 0:00
Cheyenne,,CIRCLE,WY,6/20/1970 2:00
West Jefferson,ORANGE,SPHERE,NC,6/23/1970 21:00
Poughkeepsie,,DISK,NY,6/25/1970 15:00
Honolulu,,SPHERE,HI,6/30/1970 1:00
Kent,GREEN BLUE,DISK,WA,6/30/1970 23:00
San Antonio,,OVAL,TX,7/1/1970 0:00
Warren,,DISK,MI,7/1/1970 19:00
Lockport,,LIGHT,IL,7/1/1970 23:30
McLean,,OTHER,VA,7/7/1970 1:00
La Habra,ORANGE,SPHERE,CA,7/7/1970 20:00
Lansing,ORANGE,LIGHT,MI,7/11/1970 20:30
Bemus Point,,OTHER,NY,7/15/1970 2:00
Provo,,DISK,UT,7/15/1970 11:00
South Windsor,,OVAL,CT,7/15/1970 19:00
Indian Orchard,,,MA,7/15/1970 20:00
Tyre,,OTHER,NY,7/15/1970 21:30
Roseville,,DISK,CA,7/15/1970 22:00
Pittsfield,,LIGHT,MA,7/15/1970 23:30
Pearl Harbor,,,HI,7/16/1970 23:00
Custer,,LIGHT,MT,7/18/1970 23:00
Englewood,,SPHERE,FL,7/20/1970 19:00
Kindred,,OVAL,ND,7/20/1970 19:00
Levittown,,DISK,NY,7/20/1970 21:15
Newark,,OVAL,NY,7/20/1970 22:00
Grand Blanc,,,MI,7/22/1970 3:00
Grand Blanc,,LIGHT,MI,7/22/1970 3:00
Stockton,,FIREBALL,CA,7/22/1970 20:00
Cottonwood,,CYLINDER,AZ,7/26/1970 23:30
,,,NH,8/1/1970 9:30
Racine,,,HI,8/1/1970 18:45
Pompano Beach,,OTHER,FL,8/1/1970 20:00
Everton,,LIGHT,MO,8/1/1970 21:00
Palmdale,,CYLINDER,CA,8/1/1970 21:30
Ocean City,,DISK,NJ,8/15/1970 0:30
Newport,,RECTANGLE,RI,8/15/1970 12:00
Seymore,,DISK,IL,8/15/1970 20:00
Spring City,,FIREBALL,TN,8/20/1970 1:00
Sebastian,,,FL,8/22/1970 21:30
Toms River,,SPHERE,NJ,8/24/1970 23:50
Brady,,CIRCLE,TX,8/26/1970 9:30
Brady,,DISK,TX,8/26/1970 23:00
Los Angeles,,DISK,CA,9/1/1970 14:00
Pittsburgh,,DISK,PA,9/7/1970 23:11
Mundelin,,DISK,IL,9/10/1970 11:00
San Angelo,,LIGHT,TX,9/10/1970 21:30
Deer Creek,,DIAMOND,CA,9/15/1970 7:30
Sturgeon,,,MO,9/15/1970 20:00
Russellton,ORANGE,TRIANGLE,PA,9/20/1970 20:00
Quincy,BLUE,,IL,9/21/1970 18:30
Homestead,,LIGHT,FL,9/22/1970 1:00
New York City,,SPHERE,NY,9/22/1970 23:00
New York City,,DISK,NY,10/1/1970 16:00
Bentonville,,OTHER,AR,10/1/1970 17:30
Summit Lake Indian Reservation,,OVAL,NV,10/1/1970 19:00
Tampa,,OTHER,FL,10/1/1970 19:00
